trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-128,17,746.4274293918908,1275.029017661264,2.8538221282018683,19.699206256706574,1,0,249.59851450164655,-166.59369082273946,0.625,323.89653954728107,-317.21920111190224,1.0833333333333333
1-130,4,585.3856731057499,1335.0963691709694,5.254109758177857,27.605669350979777,1,0,416.88139041165323,-304.1904525612494,0.8571428571428571,796.1756669669068,-613.1975937623973,0.7142857142857143
1-131,5,594.730242832235,1273.4473752953681,0.9222026136549575,1.8342630857867415,1,0,195.22523769139943,-168.6737698909417,1.0,317.5782512359354,-292.71762081895986,0.8571428571428571
1-137,3,458.01428752713883,1249.2119718747315,3.4018484872330856,11.572573130090033,1,0,213.78170676914317,-183.86152303869213,1.0,252.63212573794527,-345.02858332596605,1.75
1-138,6,809.3315032055566,1294.5183978220755,0.543509001478562,2.526984297309581,1,0,188.7030129309071,-153.71626622933852,1.1428571428571428,244.67141141216973,-382.085056944556,1.8
1-139,13,555.4192719543386,1241.0585753568407,1.86409302563001,5.109114024001499,1,0,156.0485643550053,-111.89312401921944,0.6923076923076923,194.02171964069507,-227.29806814435776,1.3333333333333333
1-140,28,960.0305522581576,1235.4988969046883,0.3577064328506725,2.168047151714107,1,1,195.10472768512153,-190.11982047488195,1.0555555555555556,327.37237824394003,-331.37498440970484,1.1176470588235294
1-141,2,1314.6851669626271,1357.8739204135284,2.292058578275858,5.253532526247946,1,0,270.860949632596,-416.6287312327655,1.75,592.1047810436228,-614.3660528860536,1.0
1-143,3,353.02062585659655,1170.4943027506195,2.310077978697693,5.336460267664019,1,0,251.28910361325998,-216.175464192311,1.0,425.37598174219374,-419.3487130437825,0.8333333333333334
1-144,4,961.0847678922125,1433.009587486985,5.059390562335361,25.597432862248123,1,0,275.34569684460917,-285.55020607404145,0.8571428571428571,435.59810115232614,-412.9232048398682,1.0
1-145,5,887.0106353667351,1213.6808777385986,2.1919533809496206,4.804659624256471,1,0,190.3169181105623,-238.99287947471743,1.0,347.4560325016013,-309.08449278860195,0.8571428571428571
1-146,2,816.5731777096105,1238.6610945735436,2.1777529240254867,4.742607798101558,1,0,277.76716997773667,-354.1229917415222,1.2,499.9360762393187,-592.3375093441512,1.5
1-147,9,593.2945711670396,1268.2077491891419,1.4096382517792432,3.9562291307726696,1,0,169.79947459257062,-99.5659434202159,0.5,203.9922202063208,-176.92267876782898,0.8888888888888888
